Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
5583,Riccall,S Mary,North Yorkshire,14278,SE619378,53.83303,-1.06025,1,c1765,,timber,Samuel and Robert Turner,Y,6.D,3.1,,0
5584,Richards Castle,S Bartholomew,Herefordshire,11602,SO484702,52.32819,-2.75770,1,c1549,,oak,,,,,,0
7820,Richmond,S Mary Magd,Greater London,10463,TQ179748,51.46016,-0.30407,9,,,,,,,,,0
5585,Richmond,S Mary Magd,Greater London,10463,TQ179748,51.46016,-0.30407,1,1981,,cast iron,Eayre & Smith,,,,,0
8173,Richmond,S Mary,North Yorkshire,12274,NZ174010,54.40483,-1.73323,3,,,,,,,,,0
5587,Richmond,S Mary,North Yorkshire,12274,NZ174010,54.40483,-1.73323,2,2017,,steel,,,,,,0
5586,Richmond,S Mary,North Yorkshire,12274,NZ174010,54.40483,-1.73323,1,2017,,cast iron,John Taylor & Co,,8.3.A.h,8.3,,0
8781,Rickinghall Inferior,S Mary,Suffolk,25246,TM038751,52.33635,0.99095,1,c1700,,timber,,,5.Y,3.XD,,0
5590,Rickinghall Superior,S Mary,Suffolk,10728,TM040745,52.33141,0.99370,1,1906,,oak,Alfred Bowell,,6.A,6.4,,0
5591,Rickling,All Saints,Essex,11320,TL498315,51.96182,0.17949,1,1927,,oak,F Clayden,,6.A,5.1,,0
5593,Rickmansworth,S Mary V,Hertfordshire,15098,TQ061942,51.63680,-0.46824,3,1913,,steel,John Warner & Sons,,,,,0
5592,Rickmansworth,S Mary V,Hertfordshire,15098,TQ061942,51.63680,-0.46824,1,1913,,steel,John Warner & Sons,,,,,0
5594,Ridge,S Margaret,Hertfordshire,13489,TL213004,51.68976,-0.24570,1,1998,,cast iron,Whitechapel Bell Foundry,,,,,0
5596,Ridgewell,S Laurence,Essex,16172,TL739409,52.03924,0.53523,2,c1399,Y,oak,,,5.R,1,,0
5595,Ridgewell,S Laurence,Essex,16172,TL739409,52.03924,0.53523,1,2010,,cast iron;steel,Whitechapel Bell Foundry,,8.3.A.h,6.1,,0
5598,Ridlington,S Mary Magd & S Andrew,Rutland,14895,SK847027,52.61581,-0.74953,2,1903,,metal,John Taylor & Co,,,,,0
